Data do início da análise,Campus,Nome completo do avaliador do processo CAR,Nome completo do orientador Ifes,Nome completo do ponto focal Idaf,Código Edocs,Processo florestal nº,Código do empreendimento nº,Município,Meta de prazo de encaminhamento do processo,Status,Motivo da notificação ao proprietário (se aplicável),Detalhamento da Notificação (Outros - Descrever),Data da ultima atualização de status
16/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-2HT3V,41740/2015,63195,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
16/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-KPKJ0,23146/2015,50873,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
16/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-BBZ22,18922/2015,47188,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-9NT62,23319/2017,590464,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-030HQ,3711/2021,615286,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-H4F89,22775/2022,624240,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-G40KP,18436/2023,628740,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-B6PJB,22474/2022,624167,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-PGFDJ,22476/2022,624165,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-NL783,20753/2022,623824,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
31/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-59KC2,22475/2022,624166,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-H35JB,20999/2017,578834,Divino de São Lourenço,,01 - Digitalizado e Autuado,,,
30/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-41KRC,3142/2025,349699,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-8PLKD,15510/2015,44359,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-D893Q,8033/2025,636465,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-W7ZMP,10455/2025,636858,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-GH3HK,10471/2025,636861,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-W6JNB,32791/2015,57774,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-T2DDD,17206/2025,638210,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-DKZ76,12862/2025,637303,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
11/11/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-NLT9N,4152/2025,350632,Jerônimo Monteiro,,01 - Digitalizado e Autuado,,,
08/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-W3HQ7,10838/2021,616472,Alegre,,05 - Sem parecer,,,
18/12/2025 ás 16:00,Alegre,Arthur Leal Altoé,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-PPM0K,43/2024,630481,Divino de São Lourenço – ES,20/12/2025,05 - Sem parecer,,,
18/12/2025 ás 16:00,Alegre,Arthur Leal Altoé,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-11N3X,219/2019,602019,Divino de São Lourenço – ES,20/12/2025,05 - Sem parecer,,,
18/12/2025 ás 16:00,Alegre,Arthur Leal Altoé,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-8639H,427/2024,630582,Guaçuí – ES,20/12/2025,05 - Sem parecer,,,
